Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Zhuhai Tower,Zhuhai,2017,329,1079,66,Concrete-Steel Composite,Hotel / Office
Longxi International Hotel,Wuxi,2011,328,1076,72,Concrete-Steel Composite,Residential / Hotel
Wuxi Suning Plaza 1,Wuxi,2014,328,1076,67,Concrete-Steel Composite,Hotel / Serviced Apartments / Office
Golden Eagle Tiandi Tower B,Nanjing,2019,328,1076,60,Concrete-Steel Composite,Office
Baoneng Center,Shenzhen,2018,327,1074,65,Concrete-Steel Composite,Office
Xiangjiang Fortune Finance Center Tower 1,Changsha,2020,327,1073,65,Concrete-Steel Composite,Office
Huaqiang Golden Corridor City Plaza Main Tower,Shenyang,2023,327,1073,66,Concrete-Steel Composite,Hotel / Office
Deji World Trade Center Tower 1,Nanjing,2022,327,1071,68,Concrete-Steel Composite,Hotel / Office
Deji Plaza,Nanjing,2013,324,1063,62,Concrete-Steel Composite,Hotel / Office
Yantai Shimao No. 1 The Harbour,Yantai,2017,323,1060,59,Concrete-Steel Composite,Residential / Hotel / Office
Wenzhou Trade Center,Wenzhou,2011,322,1056,68,All-Concrete,Hotel / Office
Guangxi Finance Plaza,Nanning,2017,321,1053,68,Concrete-Steel Composite,Hotel / Office
Heartland 66 Office Tower,Wuhan,2020,321,1052,59,Composite,Office
Shimao Canton Financial Center,Guangzhou,2022,321,1052,69,Concrete-Steel Composite,Office
Nina Tower,Hong Kong,2006,320,1051,80,All-Concrete,Hotel / Office
Sinar Mas Center 1,Shanghai,2017,320,1050,65,Concrete-Steel Composite,Office
Zhangjiang Science Gate Tower 1,Shanghai,2024,320,1049,60,Composite,Office
Zhangjiang Science Gate Tower 2,Shanghai,2024,320,1049,60,Composite,Office
Global City Square,Guangzhou,2016,319,1046,67,Concrete-Steel Composite,Office
Meixi Lake Changsha Jinmao Building,Changsha,2024,318,1044,62,Composite,Office
Jiuzhou International Tower,Nanning,2017,318,1043,71,Concrete-Steel Composite,Office
Fanya International Finance Building North,Kunming,2016,318,1043,67,Concrete-Steel Composite,Office
Fanya International Finance Building South,Kunming,2016,318,1043,66,Concrete-Steel Composite,Office
Chongqing IFS T1,Chongqing,2016,316,1038,63,Concrete-Steel Composite,Hotel / Office
Jumeirah Nanjing Hotel & International Youth Cultural Centre Tower 2,Nanjing,2015,315,1033,67,Concrete-Steel Composite,Hotel / Office
Honglou Times Square,Lanzhou,2018,313,1027,56,Concrete-Steel Composite,Hotel / Office
Shenzhen Bay Innovation and Technology Centre Tower 1,Shenzhen,2020,311,1021,69,Concrete-Steel Composite,Office
Poly Pazhou C2,Guangzhou,2017,311,1020,65,Concrete-Steel Composite,Office
Moi Center Tower A,Shenyang,2014,311,1020,75,Concrete-Steel Composite,Hotel / Office
Guangxi Wealth Financial Center,Nanning,2019,311,1020,70,Concrete-Steel Composite,Office
Pearl River Tower,Guangzhou,2013,310,1016,71,Concrete-Steel Composite,Office
CCCC Southern Financial Investment Building,Zhuhai,2021,310,1015,65,Concrete-Steel Composite,Hotel / Office
