Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Chelsea Tower,Dubai,2005,250,820,49,All-Concrete,Residential / Hotel
Downtown Views I,Dubai,2021,248,813,59,All-Concrete,Residential
Rolex Tower,Dubai,2010,247,810,59,All-Concrete,Residential / Office
Aykon City Phase 2,Dubai,2023,246,807,62,All-Concrete,Residential
DAMAC Maison de Ville Hotel,Dubai,2023,246,807,62,N/A,Serviced Apartments
Al Fattan Tower,Dubai,2006,245,804,51,All-Concrete,Residential
Oasis Beach Tower,Dubai,2006,245,804,51,All-Concrete,Residential
Arenco Tower,Dubai,2008,244,800,46,All-Concrete,Office
The Tower,Dubai,2002,243,796,54,Composite,Residential
"Downtown Views II, Tower 2",Dubai,2022,242,793,63,All-Concrete,Residential
One Za'abeel The Residences,Dubai,2023,238,782,59,Concrete-Steel Composite,Residential
Vida Residence Downtown Dubai,Dubai,2019,238,782,61,All-Concrete,Serviced Apartments
The Gate Residential Tower 1,Abu Dhabi,2013,238,781,66,All-Concrete,Residential
The Gate Residential Tower 2,Abu Dhabi,2013,238,781,66,All-Concrete,Residential
The Gate Residential Tower 3,Abu Dhabi,2013,238,781,66,All-Concrete,Residential
Sun Tower,Abu Dhabi,2010,238,779,64,All-Concrete,Residential
Arady Office Tower,Dubai,2015,237,778,49,All-Concrete,Office
The Address Residence Sky View Tower 2,Dubai,2019,236,773,55,All-Concrete,Residential / Hotel
Burj Daman,Dubai,2014,235,771,65,All-Concrete,Residential / Hotel / Office
Churchill Residence,Dubai,2010,235,771,61,All-Concrete,Residential
