Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
90 West Street,New York City,United States,1907,99.0,324.0,23.0,All-Steel,Office
Chrysler House,Detroit,United States,1913,99.0,323.0,23.0,All-Steel,
Onze Lieve Vrouwentoren,Amersfoort,Netherlands,1470,98.0,323.0,,All-Masonry,Religious
Royal Liver Building,Liverpool,United Kingdom,1911,98.0,322.0,13.0,Composite,Office
Chicago Board of Trade Building,Chicago,United States,1885,98.0,322.0,10.0,,Office
Vienna City Hall,Vienna,Austria,1883,98.0,322.0,3.0,,Government
Sint Vituskerk,Hilversum,Netherlands,1892,98.0,322.0,,,Religious
1 North Dearborn,Chicago,United States,1905,98.0,320.0,17.0,All-Steel,Office / Retail
71 Broadway,New York City,United States,1898,97.0,319.0,22.0,All-Steel,Office
Oakland City Hall,Oakland,United States,1914,97.0,319.0,18.0,All-Steel,Government
United States Realty Building,New York City,United States,1907,97.0,318.0,22.0,All-Steel,Office
Allegheny County Courthouse,Pittsburgh,United States,1888,97.0,318.0,5.0,All-Masonry,Government
Grote- of Onze Lieve Vrouwekerk,Breda,Netherlands,1509,97.0,318.0,,All-Masonry,Religious
Martinitoren,Groningen,Netherlands,1627,97.0,318.0,,All-Masonry,Religious
Sint Martinitoren,Doesburg,Netherlands,1430,97.0,318.0,,All-Masonry,Religious
St. Paul's Church,Munich,Germany,1906,97.0,318.0,,All-Masonry,Religious
309 Madison Avenue,New York City,United States,1917,97.0,317.0,26.0,All-Steel,Office
37 Wall Street,New York City,United States,1907,97.0,317.0,25.0,All-Steel,Residential
80 Maiden Lane,New York City,United States,1912,96.0,315.0,26.0,,Office
St. Paul Building,New York City,United States,1898,96.0,315.0,26.0,All-Steel,Office
Old Post Office Building,Washington D.C.,United States,1899,96.0,315.0,12.0,All-Steel,Office
