Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Bank of America Plaza,Los Angeles,United States,1975,224.0,735.0,55,All-Steel,Office
1540 Broadway,New York City,United States,1990,223.0,733.0,42,All-Steel,Office
1600 Smith Street,Houston,United States,1984,223.0,732.0,55,All-Steel,Office
Olympia Centre,Chicago,United States,1986,223.0,731.0,63,All-Concrete,Residential / Office
TD Tower,Toronto,Canada,1967,223.0,731.0,56,All-Steel,
Shinjuku Center Building,Tokyo,Japan,1979,223.0,731.0,54,All-Steel,
Hopewell Centre,Hong Kong,China,1981,222.0,728.0,64,All-Concrete,Office
Detroit Marriott at the Renaissance Center,Detroit,United States,1977,221.0,727.0,70,All-Concrete,Hotel
BNY Mellon Center,Pittsburgh,United States,1983,221.0,725.0,54,All-Steel,Office
3 Houston Center,Houston,United States,1982,221.0,725.0,52,Concrete-Steel Composite,
Westin Peachtree Plaza,Atlanta,United States,1976,220.0,723.0,73,All-Concrete,Hotel
Seattle Municipal Tower,Seattle,United States,1990,220.0,722.0,57,All-Steel,Office
Fountain Place,Dallas,United States,1986,219.0,720.0,62,All-Steel,Office
Figueroa at Wilshire,Los Angeles,United States,1989,219.0,717.0,52,All-Steel,Office
Metropolitan Tower,New York City,United States,1985,218.0,716.0,68,All-Concrete,Residential / Office
Republic Plaza,Denver,United States,1984,218.0,714.0,56,All-Steel,Office
One Shell Plaza,Houston,United States,1970,218.0,714.0,50,All-Concrete,Office
1801 California Plaza,Denver,United States,1982,216.0,709.0,52,All-Steel,Office
Terminal Tower,Cleveland,United States,1928,216.0,708.0,52,All-Steel,Office
