Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Willis Tower,Chicago,United States,1974,442.0,1451.0,108,All-Steel,
One World Trade Center,New York City,United States,1972,417.0,1368.0,110,All-Steel,Office
Two World Trade Center,New York City,United States,1973,415.0,1362.0,110,All-Steel,Office
Empire State Building,New York City,United States,1931,381.0,1250.0,102,All-Steel,Office
Bank of China Tower,Hong Kong,China,1990,367.0,1205.0,72,Concrete-Steel Composite,Office
Aon Center,Chicago,United States,1973,346.0,1136.0,83,All-Steel,Office
875 North Michigan Avenue,Chicago,United States,1969,344.0,1128.0,100,All-Steel,Residential / Office
Chrysler Building,New York City,United States,1930,319.0,1046.0,77,All-Steel,Office
U.S. Bank Tower,Los Angeles,United States,1990,310.0,1018.0,72,All-Steel,Office
The Franklin - North Tower,Chicago,United States,1989,307.0,1007.0,60,Concrete-Steel Composite,Office
JPMorgan Chase Tower,Houston,United States,1982,305.0,1002.0,75,Concrete-Steel Composite,Office
Two Prudential Plaza,Chicago,United States,1990,303.0,995.0,64,All-Concrete,Office
1000 Louisiana,Houston,United States,1983,302.0,992.0,71,All-Steel,Office
First Canadian Place,Toronto,Canada,1975,298.0,978.0,72,All-Steel,Office
311 South Wacker Drive,Chicago,United States,1990,293.0,961.0,65,All-Concrete,Office
70 Pine,New York City,United States,1932,290.0,952.0,67,All-Steel,Office
One Liberty Place,Philadelphia,United States,1987,288.0,945.0,61,All-Steel,Office
Columbia Center,Seattle,United States,1984,284.0,933.0,76,Concrete-Steel Composite,Office
The Trump Building,New York City,United States,1930,283.0,927.0,71,All-Steel,Office
Bank of America Plaza,Dallas,United States,1985,281.0,921.0,72,Concrete-Steel Composite,Office
601 Lexington,New York City,United States,1977,279.0,915.0,63,All-Steel,Office
Overseas Union Bank Centre,Singapore,Singapore,1986,278.0,911.0,63,All-Steel,Office
Scotia Tower,Toronto,Canada,1988,275.0,902.0,68,Composite,Office
Williams Tower,Houston,United States,1982,275.0,901.0,64,All-Steel,Office
Renaissance Tower,Dallas,United States,1986,270.0,886.0,56,All-Steel,Office
900 North Michigan Avenue,Chicago,United States,1989,265.0,869.0,66,Concrete Over Steel,Residential / Office / Hotel
Chase Tower,Chicago,United States,1969,265.0,868.0,61,All-Steel,Office
Water Tower Place,Chicago,United States,1976,262.0,859.0,74,All-Concrete,Residential / Hotel / Retail
707 Wilshire Tower,Los Angeles,United States,1974,262.0,858.0,62,All-Steel,Office
Brookfield Place,Toronto,Canada,1990,261.0,856.0,53,Concrete-Steel Composite,Office
Transamerica Pyramid Center,San Francisco,United States,1972,260.0,853.0,48,Composite,
Comcast Building,New York City,United States,1933,259.0,850.0,70,All-Steel,Office
Centro Financiero Latino,Caracas,Venezuela,1978,,,32,,Government
Two Liberty Place,Philadelphia,United States,1990,258.0,848.0,58,All-Steel,Office
MesseTurm,Frankfurt am Main,Germany,1990,257.0,842.0,64,All-Concrete,
U.S. Steel Tower,Pittsburgh,United States,1970,256.0,841.0,64,All-Steel,Office
Rialto Towers,Melbourne,Australia,1986,251.0,824.0,63,All-Concrete,Office
One Atlantic Center,Atlanta,United States,1987,250.0,820.0,50,Concrete-Steel Composite,Office
KLI 63 Building,Seoul,South Korea,1985,250.0,819.0,60,All-Steel,Office
CitySpire,New York City,United States,1987,248.0,814.0,75,All-Concrete,Residential / Office
28 Liberty,New York City,United States,1961,248.0,813.0,60,All-Steel,Office
MetLife Building,New York City,United States,1963,246.0,808.0,59,All-Steel,Office
Menara Maybank,Kuala Lumpur,Malaysia,1988,244.0,799.0,50,All-Concrete,Office
BNY Mellon Bank Center,Philadelphia,United States,1990,241.0,792.0,54,Concrete-Steel Composite,Office
Woolworth Building,New York City,United States,1913,241.0,792.0,58,All-Steel,Office
IDS Center,Minneapolis,United States,1973,241.0,792.0,55,Concrete-Steel Composite,Office
200 Clarendon,Boston,United States,1976,241.0,790.0,62,All-Steel,Office
Sunshine 60 Tower,Tokyo,Japan,1978,240.0,787.0,60,Concrete-Steel Composite,Office
Comerica Bank Tower,Dallas,United States,1987,240.0,787.0,60,Concrete-Steel Composite,Office / Residential / Hotel
Commerce Court West,Toronto,Canada,1973,239.0,784.0,57,Concrete-Steel Composite,Office
MV Lomonosov State University,Moscow,Russia,1953,239.0,784.0,39,All-Steel,Education
TC Energy Center,Houston,United States,1983,238.0,780.0,56,All-Steel,
555 California Street,San Francisco,United States,1969,237.0,779.0,52,All-Steel,Office
1 Worldwide Plaza,New York City,United States,1989,237.0,778.0,47,All-Steel,Office
Wells Fargo Center,Minneapolis,United States,1988,236.0,775.0,56,Concrete-Steel Composite,Office
1201 Third Avenue Tower,Seattle,United States,1988,235.0,772.0,55,All-Steel,Office
AXA Tower,Singapore,Singapore,1986,235.0,770.0,52,Concrete-Steel Composite,Office
70 West Madison,Chicago,United States,1981,234.0,767.0,57,Concrete-Steel Composite,
Southeast Financial Center,Miami,United States,1984,233.0,764.0,55,Composite,Office
Heritage Plaza,Houston,United States,1987,232.0,762.0,53,All-Steel,Office
Menara KOMTAR,Penang,Malaysia,1985,232.0,760.0,65,All-Concrete,Office
Palace of Culture and Science,Warsaw,Poland,1955,231.0,757.0,42,All-Steel,Office
Enterprise Plaza,Houston,United States,1980,230.0,756.0,55,Concrete-Steel Composite,Office
787 Seventh Avenue,New York City,United States,1985,229.0,752.0,51,All-Steel,Office
One Penn Plaza,New York City,United States,1972,229.0,750.0,57,All-Steel,Office
1251 Avenue of the Americas,New York City,United States,1972,229.0,750.0,54,All-Steel,Office
Prudential Tower,Boston,United States,1964,229.0,750.0,52,All-Steel,Office
MLC Centre,Sydney,Australia,1977,228.0,748.0,60,All-Concrete,Office
Trade Tower,Seoul,South Korea,1988,228.0,748.0,55,All-Steel,Office
60 Wall Street,New York City,United States,1989,227.0,745.0,55,All-Steel,Office
One Astor Plaza,New York City,United States,1972,227.0,745.0,54,Concrete-Steel Composite,Office
One Liberty Plaza,New York City,United States,1972,226.0,743.0,54,All-Steel,Office
Swissotel The Stamford,Singapore,Singapore,1986,226.0,741.0,73,Composite,Hotel
Twenty Exchange,New York City,United States,1931,226.0,741.0,57,All-Steel,Office
Two Union Square,Seattle,United States,1989,226.0,740.0,56,Concrete-Steel Composite,Office
Wells Fargo North Tower,Los Angeles,United States,1983,226.0,740.0,54,All-Steel,Office
Three World Financial Center,New York City,United States,1986,225.0,739.0,51,All-Steel,Office
Parque Central Torre Officinas I,Caracas,Venezuela,1979,225.0,738.0,56,All-Concrete,Office
Parque Central Torre Officinas II,Caracas,Venezuela,1983,225.0,738.0,56,All-Concrete,Office
Shinjuku Mitsui Building,Tokyo,Japan,1974,225.0,738.0,55,All-Steel,Office
Dallas Arts Tower,Dallas,United States,1987,225.0,738.0,55,All-Steel,
