Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Petronas Twin Tower 1,Kuala Lumpur,Malaysia,1998,452.0,1483.0,88,Concrete-Steel Composite,Office
Petronas Twin Tower 2,Kuala Lumpur,Malaysia,1998,452.0,1483.0,88,Concrete-Steel Composite,Office
Willis Tower,Chicago,United States,1974,442.0,1451.0,108,All-Steel,
Jin Mao Tower,Shanghai,China,1999,421.0,1380.0,88,Concrete-Steel Composite,Hotel / Office
One World Trade Center,New York City,United States,1972,417.0,1368.0,110,All-Steel,Office
Two World Trade Center,New York City,United States,1973,415.0,1362.0,110,All-Steel,Office
CITIC Plaza,Guangzhou,China,1996,390.0,1280.0,80,Concrete-Steel Composite,Office
Shun Hing Square,Shenzhen,China,1996,384.0,1260.0,69,Concrete-Steel Composite,Office
Empire State Building,New York City,United States,1931,381.0,1250.0,102,All-Steel,Office
Central Plaza,Hong Kong,China,1992,374.0,1227.0,78,All-Concrete,Office
Bank of China Tower,Hong Kong,China,1990,367.0,1205.0,72,Concrete-Steel Composite,Office
Emirates Tower One,Dubai,United Arab Emirates,2000,355.0,1163.0,54,Composite,Office
85 Sky Tower,Kaohsiung,Taiwan,1997,348.0,1140.0,85,All-Steel,Hotel / Office / Retail
Aon Center,Chicago,United States,1973,346.0,1136.0,83,All-Steel,Office
The Center,Hong Kong,China,1998,346.0,1135.0,73,All-Steel,Office
875 North Michigan Avenue,Chicago,United States,1969,344.0,1128.0,100,All-Steel,Residential / Office
Burj Al Arab,Dubai,United Arab Emirates,1999,321.0,1053.0,56,Composite,Hotel
Chrysler Building,New York City,United States,1930,319.0,1046.0,77,All-Steel,Office
Bank of America Plaza,Atlanta,United States,1992,312.0,1023.0,55,Concrete-Steel Composite,
U.S. Bank Tower,Los Angeles,United States,1990,310.0,1018.0,72,All-Steel,Office
Emirates Tower Two,Dubai,United Arab Emirates,2000,309.0,1014.0,56,All-Concrete,Hotel
The Franklin - North Tower,Chicago,United States,1989,307.0,1007.0,60,Concrete-Steel Composite,Office
JPMorgan Chase Tower,Houston,United States,1982,305.0,1002.0,75,Concrete-Steel Composite,Office
Baiyoke Tower II,Bangkok,Thailand,1997,304.0,997.0,85,All-Concrete,Hotel
Two Prudential Plaza,Chicago,United States,1990,303.0,995.0,64,All-Concrete,Office
1000 Louisiana,Houston,United States,1983,302.0,992.0,71,All-Steel,Office
First Canadian Place,Toronto,Canada,1975,298.0,978.0,72,All-Steel,Office
Landmark Tower,Yokohama,Japan,1993,296.0,972.0,73,All-Steel,Hotel / Office
311 South Wacker Drive,Chicago,United States,1990,293.0,961.0,65,All-Concrete,Office
SEG Plaza,Shenzhen,China,2000,292.0,957.0,71,All-Concrete,Office
70 Pine,New York City,United States,1932,290.0,952.0,67,All-Steel,Office
Key Tower,Cleveland,United States,1991,289.0,947.0,57,Composite,Office
One Liberty Place,Philadelphia,United States,1987,288.0,945.0,61,All-Steel,Office
Columbia Center,Seattle,United States,1984,284.0,933.0,76,Concrete-Steel Composite,Office
Cheung Kong Centre,Hong Kong,China,1999,283.0,928.0,63,All-Steel,Office
The Trump Building,New York City,United States,1930,283.0,927.0,71,All-Steel,Office
Bank of America Plaza,Dallas,United States,1985,281.0,921.0,72,Concrete-Steel Composite,Office
United Overseas Bank Plaza One,Singapore,Singapore,1992,280.0,919.0,66,All-Steel,Office
601 Lexington,New York City,United States,1977,279.0,915.0,63,All-Steel,Office
Overseas Union Bank Centre,Singapore,Singapore,1986,278.0,911.0,63,All-Steel,Office
Republic Plaza,Singapore,Singapore,1996,276.0,906.0,66,Concrete-Steel Composite,Office
Scotia Tower,Toronto,Canada,1988,275.0,902.0,68,Composite,Office
Williams Tower,Houston,United States,1982,275.0,901.0,64,All-Steel,Office
Wuhan World Trade Tower,Wuhan,China,1998,273.0,896.0,60,,Office
Renaissance Tower,Dallas,United States,1986,270.0,886.0,56,All-Steel,Office
Al Faisaliah Center,Riyadh,Saudi Arabia,2000,267.0,876.0,30,Steel Over Concrete,Office / Hotel
120 Collins Street,Melbourne,Australia,1991,267.0,875.0,52,All-Concrete,Office
Bank of America Corporate Center,Charlotte,United States,1992,265.0,871.0,60,All-Concrete,Office
900 North Michigan Avenue,Chicago,United States,1989,265.0,869.0,66,Concrete Over Steel,Residential / Office / Hotel
Chase Tower,Chicago,United States,1969,265.0,868.0,61,All-Steel,Office
Truist Plaza,Atlanta,United States,1992,264.0,867.0,60,All-Concrete,Office
Wisma 46,Jakarta,Indonesia,1996,262.0,859.0,46,All-Concrete,Office
Water Tower Place,Chicago,United States,1976,262.0,859.0,74,All-Concrete,Residential / Hotel / Retail
707 Wilshire Tower,Los Angeles,United States,1974,262.0,858.0,62,All-Steel,Office
Brookfield Place,Toronto,Canada,1990,261.0,856.0,53,Concrete-Steel Composite,Office
101 Collins Street,Melbourne,Australia,1991,260.0,853.0,50,Composite,Office
Transamerica Pyramid Center,San Francisco,United States,1972,260.0,853.0,48,Composite,
Shenzhen Special Zone Daily Tower,Shenzhen,China,1998,260.0,853.0,42,All-Concrete,Office
