Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Petronas Twin Tower 1,Kuala Lumpur,1998,452,1483,88,Concrete-Steel Composite,Office
Petronas Twin Tower 2,Kuala Lumpur,1998,452,1483,88,Concrete-Steel Composite,Office
Willis Tower,Chicago,1974,442,1451,108,All-Steel,
Jin Mao Tower,Shanghai,1999,421,1380,88,Concrete-Steel Composite,Hotel / Office
One World Trade Center,New York City,1972,417,1368,110,All-Steel,Office
Two World Trade Center,New York City,1973,415,1362,110,All-Steel,Office
CITIC Plaza,Guangzhou,1996,390,1280,80,Concrete-Steel Composite,Office
Shun Hing Square,Shenzhen,1996,384,1260,69,Concrete-Steel Composite,Office
Empire State Building,New York City,1931,381,1250,102,All-Steel,Office
Central Plaza,Hong Kong,1992,374,1227,78,All-Concrete,Office
Bank of China Tower,Hong Kong,1990,367,1205,72,Concrete-Steel Composite,Office
Emirates Tower One,Dubai,2000,355,1163,54,Composite,Office
85 Sky Tower,Kaohsiung,1997,348,1140,85,All-Steel,Hotel / Office / Retail
Aon Center,Chicago,1973,346,1136,83,All-Steel,Office
The Center,Hong Kong,1998,346,1135,73,All-Steel,Office
875 North Michigan Avenue,Chicago,1969,344,1128,100,All-Steel,Residential / Office
Burj Al Arab,Dubai,1999,321,1053,56,Composite,Hotel
Chrysler Building,New York City,1930,319,1046,77,All-Steel,Office
Bank of America Plaza,Atlanta,1992,312,1023,55,Concrete-Steel Composite,
U.S. Bank Tower,Los Angeles,1990,310,1018,72,All-Steel,Office
Emirates Tower Two,Dubai,2000,309,1014,56,All-Concrete,Hotel
The Franklin - North Tower,Chicago,1989,307,1007,60,Concrete-Steel Composite,Office
JPMorgan Chase Tower,Houston,1982,305,1002,75,Concrete-Steel Composite,Office
Baiyoke Tower II,Bangkok,1997,304,997,85,All-Concrete,Hotel
Two Prudential Plaza,Chicago,1990,303,995,64,All-Concrete,Office
1000 Louisiana,Houston,1983,302,992,71,All-Steel,Office
First Canadian Place,Toronto,1975,298,978,72,All-Steel,Office
Landmark Tower,Yokohama,1993,296,972,73,All-Steel,Hotel / Office
311 South Wacker Drive,Chicago,1990,293,961,65,All-Concrete,Office
SEG Plaza,Shenzhen,2000,292,957,71,All-Concrete,Office
70 Pine,New York City,1932,290,952,67,All-Steel,Office
Key Tower,Cleveland,1991,289,947,57,Composite,Office
One Liberty Place,Philadelphia,1987,288,945,61,All-Steel,Office
Columbia Center,Seattle,1984,284,933,76,Concrete-Steel Composite,Office
Cheung Kong Centre,Hong Kong,1999,283,928,63,All-Steel,Office
The Trump Building,New York City,1930,283,927,71,All-Steel,Office
Bank of America Plaza,Dallas,1985,281,921,72,Concrete-Steel Composite,Office
United Overseas Bank Plaza One,Singapore,1992,280,919,66,All-Steel,Office
601 Lexington,New York City,1977,279,915,63,All-Steel,Office
Overseas Union Bank Centre,Singapore,1986,278,911,63,All-Steel,Office
Republic Plaza,Singapore,1996,276,906,66,Concrete-Steel Composite,Office
Scotia Tower,Toronto,1988,275,902,68,Composite,Office
Williams Tower,Houston,1982,275,901,64,All-Steel,Office
Wuhan World Trade Tower,Wuhan,1998,273,896,60,N/A,Office
Renaissance Tower,Dallas,1986,270,886,56,All-Steel,Office
Al Faisaliah Center,Riyadh,2000,267,876,30,Steel Over Concrete,Office / Hotel
120 Collins Street,Melbourne,1991,267,875,52,All-Concrete,Office
Bank of America Corporate Center,Charlotte,1992,265,871,60,All-Concrete,Office
900 North Michigan Avenue,Chicago,1989,265,869,66,Concrete Over Steel,Residential / Office / Hotel
Chase Tower,Chicago,1969,265,868,61,All-Steel,Office
Truist Plaza,Atlanta,1992,264,867,60,All-Concrete,Office
Wisma 46,Jakarta,1996,262,859,46,All-Concrete,Office
Water Tower Place,Chicago,1976,262,859,74,All-Concrete,Residential / Hotel / Retail
707 Wilshire Tower,Los Angeles,1974,262,858,62,All-Steel,Office
Brookfield Place,Toronto,1990,261,856,53,Concrete-Steel Composite,Office
101 Collins Street,Melbourne,1991,260,853,50,Composite,Office
Transamerica Pyramid Center,San Francisco,1972,260,853,48,Composite,
Shenzhen Special Zone Daily Tower,Shenzhen,1998,260,853,42,All-Concrete,Office
Comcast Building,New York City,1933,259,850,70,All-Steel,Office
Commerzbank Tower,Frankfurt am Main,1997,259,850,56,Concrete-Steel Composite,Office
