Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Willis Tower,Chicago,1974,442.0,1451.0,108,All-Steel,
One World Trade Center,New York City,1972,417.0,1368.0,110,All-Steel,Office
Two World Trade Center,New York City,1973,415.0,1362.0,110,All-Steel,Office
Empire State Building,New York City,1931,381.0,1250.0,102,All-Steel,Office
Bank of China Tower,Hong Kong,1990,367.0,1205.0,72,Concrete-Steel Composite,Office
Aon Center,Chicago,1973,346.0,1136.0,83,All-Steel,Office
875 North Michigan Avenue,Chicago,1969,344.0,1128.0,100,All-Steel,Residential / Office
Chrysler Building,New York City,1930,319.0,1046.0,77,All-Steel,Office
U.S. Bank Tower,Los Angeles,1990,310.0,1018.0,72,All-Steel,Office
The Franklin - North Tower,Chicago,1989,307.0,1007.0,60,Concrete-Steel Composite,Office
JPMorgan Chase Tower,Houston,1982,305.0,1002.0,75,Concrete-Steel Composite,Office
Two Prudential Plaza,Chicago,1990,303.0,995.0,64,All-Concrete,Office
1000 Louisiana,Houston,1983,302.0,992.0,71,All-Steel,Office
First Canadian Place,Toronto,1975,298.0,978.0,72,All-Steel,Office
311 South Wacker Drive,Chicago,1990,293.0,961.0,65,All-Concrete,Office
70 Pine,New York City,1932,290.0,952.0,67,All-Steel,Office
One Liberty Place,Philadelphia,1987,288.0,945.0,61,All-Steel,Office
Columbia Center,Seattle,1984,284.0,933.0,76,Concrete-Steel Composite,Office
The Trump Building,New York City,1930,283.0,927.0,71,All-Steel,Office
Bank of America Plaza,Dallas,1985,281.0,921.0,72,Concrete-Steel Composite,Office
601 Lexington,New York City,1977,279.0,915.0,63,All-Steel,Office
Overseas Union Bank Centre,Singapore,1986,278.0,911.0,63,All-Steel,Office
Scotia Tower,Toronto,1988,275.0,902.0,68,Composite,Office
Williams Tower,Houston,1982,275.0,901.0,64,All-Steel,Office
Renaissance Tower,Dallas,1986,270.0,886.0,56,All-Steel,Office
900 North Michigan Avenue,Chicago,1989,265.0,869.0,66,Concrete Over Steel,Residential / Office / Hotel
Chase Tower,Chicago,1969,265.0,868.0,61,All-Steel,Office
Water Tower Place,Chicago,1976,262.0,859.0,74,All-Concrete,Residential / Hotel / Retail
707 Wilshire Tower,Los Angeles,1974,262.0,858.0,62,All-Steel,Office
Brookfield Place,Toronto,1990,261.0,856.0,53,Concrete-Steel Composite,Office
Transamerica Pyramid Center,San Francisco,1972,260.0,853.0,48,Composite,
Comcast Building,New York City,1933,259.0,850.0,70,All-Steel,Office
