Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Burj Khalifa,Dubai,United Arab Emirates,2010,828,2717,163,Steel Over Concrete,Office / Residential / Hotel
TAIPEI 101,Taipei,Taiwan,2004,508,1667,101,Composite,
Shanghai World Financial Center,Shanghai,China,2008,492,1614,101,Concrete-Steel Composite,Hotel / Office
International Commerce Centre,Hong Kong,China,2010,484,1588,108,Concrete-Steel Composite,Hotel / Office
Petronas Twin Tower 1,Kuala Lumpur,Malaysia,1998,452,1483,88,Concrete-Steel Composite,Office
Petronas Twin Tower 2,Kuala Lumpur,Malaysia,1998,452,1483,88,Concrete-Steel Composite,Office
Zifeng Tower,Nanjing,China,2010,450,1476,66,Concrete-Steel Composite,Hotel / Office
Willis Tower,Chicago,United States,1974,442,1451,108,All-Steel,
Guangzhou International Finance Center,Guangzhou,China,2010,439,1439,101,Concrete-Steel Composite,Hotel / Office
Trump International Hotel & Tower,Chicago,United States,2009,423,1389,98,All-Concrete,Residential / Hotel
Jin Mao Tower,Shanghai,China,1999,421,1380,88,Concrete-Steel Composite,Hotel / Office
Two International Finance Centre,Hong Kong,China,2003,412,1352,88,Concrete-Steel Composite,Office
CITIC Plaza,Guangzhou,China,1996,390,1280,80,Concrete-Steel Composite,Office
Shun Hing Square,Shenzhen,China,1996,384,1260,69,Concrete-Steel Composite,Office
Empire State Building,New York City,United States,1931,381,1250,102,All-Steel,Office
Central Plaza,Hong Kong,China,1992,374,1227,78,All-Concrete,Office
Bank of China Tower,Hong Kong,China,1990,367,1205,72,Concrete-Steel Composite,Office
Bank of America Tower,New York City,United States,2009,366,1200,55,Concrete-Steel Composite,Office
Almas Tower,Dubai,United Arab Emirates,2008,360,1181,68,All-Concrete,Office
Emirates Tower One,Dubai,United Arab Emirates,2000,355,1163,54,Composite,Office
85 Sky Tower,Kaohsiung,Taiwan,1997,348,1140,85,All-Steel,Hotel / Office / Retail
Aon Center,Chicago,United States,1973,346,1136,83,All-Steel,Office
The Center,Hong Kong,China,1998,346,1135,73,All-Steel,Office
875 North Michigan Avenue,Chicago,United States,1969,344,1128,100,All-Steel,Residential / Office
Shimao International Plaza,Shanghai,China,2006,333,1094,60,All-Concrete,Hotel / Office / Retail
Rose Rayhaan by Rotana,Dubai,United Arab Emirates,2007,333,1093,71,Concrete-Steel Composite,Hotel
Minsheng Bank Building,Wuhan,China,2008,331,1086,68,All-Steel,Office
China World Tower,Beijing,China,2010,330,1083,74,Concrete-Steel Composite,Hotel / Office
The Index,Dubai,United Arab Emirates,2010,326,1070,80,All-Concrete,Residential / Office
Q1 Tower,Gold Coast,Australia,2005,323,1058,78,All-Concrete,Residential
Burj Al Arab,Dubai,United Arab Emirates,1999,321,1053,56,Composite,Hotel
Nina Tower,Hong Kong,China,2006,320,1051,80,All-Concrete,Hotel / Office
Chrysler Building,New York City,United States,1930,319,1046,77,All-Steel,Office
New York Times Tower,New York City,United States,2007,319,1046,52,All-Steel,Office
Blue Tower,Dubai,United Arab Emirates,2010,318,1042,72,All-Concrete,Residential
Bank of America Plaza,Atlanta,United States,1992,312,1023,55,Concrete-Steel Composite,
U.S. Bank Tower,Los Angeles,United States,1990,310,1018,72,All-Steel,Office
Ocean Heights,Dubai,United Arab Emirates,2010,310,1017,83,All-Concrete,Residential
Menara TM,Kuala Lumpur,Malaysia,2001,310,1017,55,All-Concrete,Office
Emirates Tower Two,Dubai,United Arab Emirates,2000,309,1014,56,All-Concrete,Hotel
The Franklin - North Tower,Chicago,United States,1989,307,1007,60,Concrete-Steel Composite,Office
JPMorgan Chase Tower,Houston,United States,1982,305,1002,75,Concrete-Steel Composite,Office
Baiyoke Tower II,Bangkok,Thailand,1997,304,997,85,All-Concrete,Hotel
Two Prudential Plaza,Chicago,United States,1990,303,995,64,All-Concrete,Office
1000 Louisiana,Houston,United States,1983,302,992,71,All-Steel,Office
