Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Kingdom Centre,Riyadh,Saudi Arabia,2002,302,992,41,Steel Over Concrete,Residential / Hotel / Office
The Address,Dubai,United Arab Emirates,2008,302,991,63,All-Concrete,
Capital City Moscow Tower,Moscow,Russia,2010,302,990,76,All-Concrete,Residential
Arraya Tower,Kuwait City,Kuwait,2009,300,984,60,All-Concrete,Office
Aspire Tower,Doha,Qatar,2007,300,984,36,Concrete-Steel Composite,Hotel / Office
First Canadian Place,Toronto,Canada,1975,298,978,72,All-Steel,Office
One Island East,Hong Kong,China,2008,298,978,68,All-Concrete,Office
Eureka Tower,Melbourne,Australia,2006,297,975,91,All-Concrete,Residential
Comcast Center,Philadelphia,United States,2008,297,974,57,Concrete-Steel Composite,Office
Landmark Tower,Yokohama,Japan,1993,296,972,73,All-Steel,Hotel / Office
Emirates Crown,Dubai,United Arab Emirates,2008,296,971,63,All-Concrete,Residential
311 South Wacker Drive,Chicago,United States,1990,293,961,65,All-Concrete,Office
Sky Tower,Abu Dhabi,United Arab Emirates,2010,292,959,74,All-Concrete,Residential / Office
SEG Plaza,Shenzhen,China,2000,292,957,71,All-Concrete,Office
70 Pine,New York City,United States,1932,290,952,67,All-Steel,Office
Key Tower,Cleveland,United States,1991,289,947,57,Composite,Office
Plaza 66,Shanghai,China,2001,288,945,66,All-Concrete,Office
One Liberty Place,Philadelphia,United States,1987,288,945,61,All-Steel,Office
Sulafa Tower,Dubai,United Arab Emirates,2010,288,945,76,All-Concrete,Residential
Millennium Tower,Dubai,United Arab Emirates,2006,285,935,59,All-Concrete,Residential
Tomorrow Square,Shanghai,China,2003,285,934,60,All-Concrete,Residential / Hotel / Office
Columbia Center,Seattle,United States,1984,284,933,76,Concrete-Steel Composite,Office
Chongqing World Trade Center,Chongqing,China,2005,283,929,60,All-Concrete,Office
Cheung Kong Centre,Hong Kong,China,1999,283,928,63,All-Steel,Office
The Trump Building,New York City,United States,1930,283,927,71,All-Steel,Office
Suzhou RunHua Global Building A,Suzhou,China,2010,282,925,49,Concrete-Steel Composite,Office
Bank of America Plaza,Dallas,United States,1985,281,921,72,Concrete-Steel Composite,Office
United Overseas Bank Plaza One,Singapore,Singapore,1992,280,919,66,All-Steel,Office
Excellence Century Plaza Tower 1,Shenzhen,China,2010,280,919,60,Concrete-Steel Composite,Office
601 Lexington,New York City,United States,1977,279,915,63,All-Steel,Office
Hong Kong New World Tower,Shanghai,China,2004,278,913,59,Concrete-Steel Composite,Hotel / Office / Retail
Overseas Union Bank Centre,Singapore,Singapore,1986,278,911,63,All-Steel,Office
Republic Plaza,Singapore,Singapore,1996,276,906,66,Concrete-Steel Composite,Office
Diwang International Commerce Center,Nanning,China,2006,276,906,54,All-Concrete,Hotel / Office
Scotia Tower,Toronto,Canada,1988,275,902,68,Composite,Office
Williams Tower,Houston,United States,1982,275,901,64,All-Steel,Office
Wuhan World Trade Tower,Wuhan,China,1998,273,896,60,,Office
Shanghai Wheelock Square,Shanghai,China,2010,270,887,55,All-Concrete,Office
Renaissance Tower,Dallas,United States,1986,270,886,56,All-Steel,Office
The Cullinan I,Hong Kong,China,2008,270,886,68,All-Concrete,Residential
The Cullinan II,Hong Kong,China,2008,270,886,68,All-Concrete,Residential / Hotel
China International Center Tower B,Guangzhou,China,2007,270,884,62,All-Concrete,Office
Dapeng International Plaza,Guangzhou,China,2007,269,884,56,Composite,Office
One Lujiazui,Shanghai,China,2008,269,883,47,All-Concrete,Office
Radisson Royal Hotel Dubai,Dubai,United Arab Emirates,2010,269,883,60,All-Concrete,Hotel
21st Century Tower,Dubai,United Arab Emirates,2003,269,883,55,Steel Over Concrete,Residential
Naberezhnaya Tower Block C,Moscow,Russia,2007,268,881,61,Concrete-Steel Composite,Office
Al Faisaliah Center,Riyadh,Saudi Arabia,2000,267,876,30,Steel Over Concrete,Office / Hotel
120 Collins Street,Melbourne,Australia,1991,267,875,52,All-Concrete,Office
Bank of America Corporate Center,Charlotte,United States,1992,265,871,60,All-Concrete,Office
900 North Michigan Avenue,Chicago,United States,1989,265,869,66,Concrete Over Steel,Residential / Office / Hotel
Business Central Tower 1,Dubai,United Arab Emirates,2008,265,869,53,All-Concrete,Office
Business Central Tower 2,Dubai,United Arab Emirates,2008,265,869,53,All-Concrete,Office
Chase Tower,Chicago,United States,1969,265,868,61,All-Steel,Office
Truist Plaza,Atlanta,United States,1992,264,867,60,All-Concrete,Office
