Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Willis Tower,Chicago,1974,442.0,1451.0,108,All-Steel,
One World Trade Center,New York City,1972,417.0,1368.0,110,All-Steel,Office
Two World Trade Center,New York City,1973,415.0,1362.0,110,All-Steel,Office
Empire State Building,New York City,1931,381.0,1250.0,102,All-Steel,Office
Aon Center,Chicago,1973,346.0,1136.0,83,All-Steel,Office
875 North Michigan Avenue,Chicago,1969,344.0,1128.0,100,All-Steel,Residential / Office
Chrysler Building,New York City,1930,319.0,1046.0,77,All-Steel,Office
First Canadian Place,Toronto,1975,298.0,978.0,72,All-Steel,Office
70 Pine,New York City,1932,290.0,952.0,67,All-Steel,Office
The Trump Building,New York City,1930,283.0,927.0,71,All-Steel,Office
601 Lexington,New York City,1977,279.0,915.0,63,All-Steel,Office
Chase Tower,Chicago,1969,265.0,868.0,61,All-Steel,Office
Water Tower Place,Chicago,1976,262.0,859.0,74,All-Concrete,Residential / Hotel / Retail
707 Wilshire Tower,Los Angeles,1974,262.0,858.0,62,All-Steel,Office
Transamerica Pyramid Center,San Francisco,1972,260.0,853.0,48,Composite,
Comcast Building,New York City,1933,259.0,850.0,70,All-Steel,Office
Centro Financiero Latino,Caracas,1978,,,32,N/A,Government
U.S. Steel Tower,Pittsburgh,1970,256.0,841.0,64,All-Steel,Office
28 Liberty,New York City,1961,248.0,813.0,60,All-Steel,Office
MetLife Building,New York City,1963,246.0,808.0,59,All-Steel,Office
Woolworth Building,New York City,1913,241.0,792.0,58,All-Steel,Office
IDS Center,Minneapolis,1973,241.0,792.0,55,Concrete-Steel Composite,Office
200 Clarendon,Boston,1976,241.0,790.0,62,All-Steel,Office
Sunshine 60 Tower,Tokyo,1978,240.0,787.0,60,Concrete-Steel Composite,Office
Commerce Court West,Toronto,1973,239.0,784.0,57,Concrete-Steel Composite,Office
MV Lomonosov State University,Moscow,1953,239.0,784.0,39,All-Steel,Education
555 California Street,San Francisco,1969,237.0,779.0,52,All-Steel,Office
Palace of Culture and Science,Warsaw,1955,231.0,757.0,42,All-Steel,Office
Enterprise Plaza,Houston,1980,230.0,756.0,55,Concrete-Steel Composite,Office
One Penn Plaza,New York City,1972,229.0,750.0,57,All-Steel,Office
1251 Avenue of the Americas,New York City,1972,229.0,750.0,54,All-Steel,Office
Prudential Tower,Boston,1964,229.0,750.0,52,All-Steel,Office
MLC Centre,Sydney,1977,228.0,748.0,60,All-Concrete,Office
One Astor Plaza,New York City,1972,227.0,745.0,54,Concrete-Steel Composite,Office
