Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Nanning Center East Tower,Nanning,China,,357,1171,77.0,,Hotel / Office
Nanning Center West Tower,Nanning,China,,357,1171,77.0,,Office
Yuhe Shennan Tower,Shenzhen,China,,354,1161,67.0,,Hotel / Office
Fawaz Alhokair Tower,Riyadh,Saudi Arabia,,354,1161,,,Serviced Apartments / Office
ASEAN Guangxi Mayors Tower,Nanning,China,,353,1159,80.0,,Office
Aykon (Tower D),Dubai,United Arab Emirates,,351,1152,,,Office
FG Tower,Balneário Camboriú,Brazil,,350,1148,110.0,,Residential
The Pinnacle Mangkuluhur City,Jakarta,Indonesia,,350,1148,110.0,All-Concrete,Hotel / Residential / Office
Flame Towers,Dubai,United Arab Emirates,,350,1148,67.0,,Residential / Hotel / Office
Dianchi Pearl Square Tower 1,Kunming,China,,350,1148,,,
HeXi Yuzui Tower C,Nanjing,China,,350,1148,,,Office
Nanjing Nexus Tower 1,Nanjing,China,,350,1148,,,Hotel / Office
RP One,Dubai,United Arab Emirates,,348,1142,86.0,,Residential / Hotel
Golden Century Plaza,Linyi,China,,348,1142,72.0,,Office
SUNAC Center Tower 1,Wuhan,China,,344,1127,60.0,,Office
Eton Shenyang Center A1,Shenyang,China,,343,1125,86.0,,Office
The Tower,Balneário Camboriú,Brazil,,340,1115,100.0,All-Concrete,Residential
Central Point Tower 1,Ramat Gan,Israel,,340,1115,85.0,,Residential / Office
Keren HaKirya Office Tower 1,Tel Aviv,Israel,,340,1115,80.0,,Office
Huafa Economic Headquarters,Zhuhai,China,,340,1115,69.0,,Office
Mindian Tower,Xiamen,China,,339,1112,76.0,,Hotel / Office
Riyadh Tower,Riyadh,Saudi Arabia,,338,1109,73.0,All-Concrete,Residential / Hotel / Office / Retail
Culture Tower,Guangzhou,China,,338,1109,,,Office
Yintan Jinmao Plaza,Lanzhou,China,,338,1109,,,Office / Retail
333 South Figueroa,Los Angeles,United States,,338,1108,77.0,,Residential / Hotel
