Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Yuhe Shennan Tower,Shenzhen,N/A,354,1161,67,N/A,Hotel / Office
Fawaz Alhokair Tower,Riyadh,N/A,354,1161,N/A,N/A,Serviced Apartments / Office
ASEAN Guangxi Mayors Tower,Nanning,N/A,353,1159,80,N/A,Office
Aykon (Tower D),Dubai,N/A,351,1152,N/A,N/A,Office
FG Tower,Balneário Camboriú,N/A,350,1148,110,N/A,Residential
The Pinnacle Mangkuluhur City,Jakarta,N/A,350,1148,110,All-Concrete,Hotel / Residential / Office
Flame Towers,Dubai,N/A,350,1148,67,N/A,Residential / Hotel / Office
Dianchi Pearl Square Tower 1,Kunming,N/A,350,1148,N/A,N/A,
HeXi Yuzui Tower C,Nanjing,N/A,350,1148,N/A,N/A,Office
Nanjing Nexus Tower 1,Nanjing,N/A,350,1148,N/A,N/A,Hotel / Office
RP One,Dubai,N/A,348,1142,86,N/A,Residential / Hotel
Golden Century Plaza,Linyi,N/A,348,1142,72,N/A,Office
SUNAC Center Tower 1,Wuhan,N/A,344,1127,60,N/A,Office
Eton Shenyang Center A1,Shenyang,N/A,343,1125,86,N/A,Office
The Tower,Balneário Camboriú,N/A,340,1115,100,All-Concrete,Residential
Central Point Tower 1,Ramat Gan,N/A,340,1115,85,N/A,Residential / Office
Keren HaKirya Office Tower 1,Tel Aviv,N/A,340,1115,80,N/A,Office
Huafa Economic Headquarters,Zhuhai,N/A,340,1115,69,N/A,Office
Mindian Tower,Xiamen,N/A,339,1112,76,N/A,Hotel / Office
Riyadh Tower,Riyadh,N/A,338,1109,73,All-Concrete,Residential / Hotel / Office / Retail
Culture Tower,Guangzhou,N/A,338,1109,N/A,N/A,Office
Yintan Jinmao Plaza,Lanzhou,N/A,338,1109,N/A,N/A,Office / Retail
333 South Figueroa,Los Angeles,N/A,338,1108,77,N/A,Residential / Hotel
